University,Country,Latitude,Longitude
Yerevan State University,Armenia,40.1817804,44.5262434
American University of the Caribbean  Sint Maarten,Sint Maarten,18.0508472,-63.12681849999999
International University School of Medicine (IUSOM),Sint Maarten,18.04248,-63.05483
St.James's School of Medicine  Bonaire,Sint Maarten,12.2018902,-68.26238219999999
University of Sint Eustatius School of Medicine,Sint Maarten,18.0346781,-63.0852077
University of the Netherlands Antilles  Curacao,Sint Maarten,12.16957,-68.99002
Universidade Católica de Angola,Angola,-8.85756,13.2818806
Universidade Gregorio Semedo,Angola,-8.8992123,13.2008545
Universidade Independente de Angola,Angola,-8.8884165,13.183948
Universidade Lusíada de Angola,Angola,-8.815885399999999,13.2297998
Universidade Metodista de Angola,Angola,-8.814488599999999,13.2357827
Universidade Metropolitana de Angola,Angola,-8.8947871,13.2007732
Universidade Tecnica de Angola,Angola,-8.9337781,13.3563823
Univesidade Agostinho Neto,Angola,-8.9429476,13.2808108
Instituto de Enseñanza Superior del Ejército,Argentina,-34.5740817,-58.4364399
"Instituto Nacional de Educación Física ""General Manuel Belgrano""",Argentina,-24.9391612,-59.02733540000001
Instituto Tecnológico de Buenos Aires,Argentina,-34.6417149,-58.4063908
Instituto Universitario Aeronáutico,Argentina,-31.4338125,-64.2756648
Instituto Universitario CEMA,Argentina,-34.5547183,-58.4950883
Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló,Argentina,-38.416097,-63.61667199999999
Instituto Universitario de Estudios Navales y Marítimos,Argentina,-38.416097,-63.61667199999999
Instituto Universitario de la Policia Federal,Argentina,-34.6197807,-58.43630289999999
Instituto Universitario Nacional del Arte,Argentina,-34.5947856,-58.3996843
Universidad Abierta Interamericana,Argentina,-38.416097,-63.61667199999999
Universidad Adventista del Plata,Argentina,-32.0756362,-60.4642845
Universidad Argentina de la Empresa,Argentina,-34.6173786,-58.3818095
"Universidad Argentina ""John F. Kennedy""",Argentina,-38.416097,-63.61667199999999
Universidad Atlantida Argentina,Argentina,-36.725983,-56.67878589999999
Universidad Austral Buenos Aires,Argentina,-34.4567907,-58.85869820000001
Universidad Autónoma de Entre Ríos,Argentina,-32.5175643,-59.1041758
Universidad Blas Pascal,Argentina,-31.3379996,-64.2552713
Universidad CAECE  Buenos Aires,Argentina,-34.6090219,-58.378698
Universidad Católica Argentina Santa Maria de los Buenos Aires,Argentina,-34.6164643,-58.3657185
Universidad Católica de Córdoba,Argentina,-31.4194196,-64.18685669999999
Universidad Católica de Cuyo,Argentina,-31.53998319999999,-68.5861233
Universidad Católica de La Plata,Argentina,-34.92463499999999,-57.95055900000001
Universidad Católica de Salta,Argentina,-24.7399601,-65.3918447
Universidad Católica de Santa Fé,Argentina,-31.6069969,-60.6710384
Universidad Católica de Santiago del Estero,Argentina,-27.7896781,-64.2417408
Universidad Champagnat,Argentina,-32.916904,-68.842569
Universidad de Belgrano,Argentina,-34.5639014,-58.4438185
